rank,rank_change,brand_name,goods_name,price,image_url,카테고리 이름,store,ranking_type
4.0,2,VT,VT PDRN 광채시트마스크 1매 25 g,1000,https://cdn.daisomall.co.kr/file/PD/20250929/VaaKV3bgiDTNm72FbhfR1067499_00_01VaaKV3bgiDTNm72FbhfR.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
5.0,-2,본셉 스킨케어,본셉 비타씨 동결 건조 더블샷 앰플 키트,5000,https://cdn.daisomall.co.kr/file/PD/20251216/lcOc1IVBETy66kefZV8g1061918_00_00lcOc1IVBETy66kefZV8g.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
7.0,0,VT,VT PDRN 광채토너 200 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250929/ne9YHnao1D592hc9xmCp1067495_00_01ne9YHnao1D592hc9xmCp.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
8.0,-1,마데카21,마데카21 테카 솔루션 수딩 미스트 토너 200 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251212/lVe1TsvXyVn9pzpTvOMD1044553_00_00lVe1TsvXyVn9pzpTvOMD.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
12.0,1,셀더마 데일리,셀더마데일리 트랜스포밍 아줄렌카밍 마스크 28 g,2000,https://cdn.daisomall.co.kr/file/PD/20250429/tW0T7spnNIGwTYPuD2KH1059832_00_01tW0T7spnNIGwTYPuD2KH.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
13.0,0,daiso,에그캡슐팩,500,https://cdn.daisomall.co.kr/file/PD/20231229/aPjP9nDwUi9Qs5hDMlkI1034517_00_00aPjP9nDwUi9Qs5hDMlkI.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
14.0,-1,VT,VT PDRN 광채크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251226/wj1JQs4g8q0tBuz4c7jF1067498_00_01wj1JQs4g8q0tBuz4c7jF.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
15.0,-2,VT,VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2ml*6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/0XsdymYj3PJyHpuxNOsm1049275_00_010XsdymYj3PJyHpuxNOsm.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
19.0,-2,daiso,팩미인 하이드로겔 브이 마스크팩,1000,https://cdn.daisomall.co.kr/file/PD/20240228/5CbxiMTJlfo8lBTONcIF1018161_00_005CbxiMTJlfo8lBTONcIF.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
20.0,-1,더랩 바이 블랑두,더랩 바이 블랑두 클리어 히알 물광 부스터 앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/wfPC4Z9JWor0Iq7HY3ZD1060644_00_00wfPC4Z9JWor0Iq7HY3ZD.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
22.0,-2,VT,VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2ml*6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/biuEYxzjCmX6JMJEi1e01049276_00_01biuEYxzjCmX6JMJEi1e0.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
24.0,-2,VT,VT PDRN 광채리프팅마스크 1매 27 g+광채에센스 1.5 ml,2000,https://cdn.daisomall.co.kr/file/PD/20251031/vqLOvtmpEIgiT5E4Vo0l1067500_00_01vqLOvtmpEIgiT5E4Vo0l.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
28.0,2,더랩 바이 블랑두,더랩 바이 블랑두 클리어 히알 물광 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/aTi0jw3qlVzLpZ0I2EIX1060645_00_00aTi0jw3qlVzLpZ0I2EIX.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
29.0,-2,마데카21,마데카21 테카 솔루션 수딩 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251212/8g0YXngSGzYvU8ufgjr11044554_00_008g0YXngSGzYvU8ufgjr1.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
30.0,2,바세린,바세린 마스크팩 집중보습,1000,https://cdn.daisomall.co.kr/file/PD/20251231/a1rTbe8LgoPw9mu5HABd1027327_00_00a1rTbe8LgoPw9mu5HABd.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
31.0,-2,본셉 스킨케어,본셉 레티놀 더블 브이핏 겔마스크 1매 22 g,2000,https://cdn.daisomall.co.kr/file/PD/20251223/7vjXali5USMdt3tkeAsb1072418_00_007vjXali5USMdt3tkeAsb.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
32.0,-2,줌 바이 정샘물,줌 바이 정샘물 광프렙 부스터 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20260105/0TUD0gnc7SYmk0pgGn4C1072791_00_000TUD0gnc7SYmk0pgGn4C.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
34.0,2,VT,VT PDRN 광채에센스 2 ml 6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/cceyzI3mcdWkrllblcO41067496_00_01cceyzI3mcdWkrllblcO4.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
35.0,1,본셉 스킨케어,본셉 레티놀 500 IU 세럼 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251216/0lOXklS1nx5HxNuMya731055167_00_000lOXklS1nx5HxNuMya73.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
37.0,0,파티온,파티온 노스카나인 퍼스트스텝 흔적앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251202/EGzX930is0fvOMC37MbX1071642_00_00EGzX930is0fvOMC37MbX.png/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
39.0,2,VT,VT 프로그로스 골드 캡슐 마스크 7.5 g 3개입,2000,https://cdn.daisomall.co.kr/file/PD/20250929/FAUIWGZWknG7SrZzmRYR1049292_00_01FAUIWGZWknG7SrZzmRYR.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
40.0,2,셀더마 데일리,셀더마데일리 콜라겐 에센스겔 마스크 29 g,1000,https://cdn.daisomall.co.kr/file/PD/20240109/8IB1YBxg81UqZXiKzXFM1042619_00_008IB1YBxg81UqZXiKzXFM.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
42.0,1,본셉 스킨케어,본셉 레티놀 세럼 마스크 23 g,1000,https://cdn.daisomall.co.kr/file/PD/20251216/Oehv5PqMF4nvB0OzhyM51054672_00_00Oehv5PqMF4nvB0OzhyM5.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
43.0,1,더랩 바이 블랑두,더랩바이블랑두 클리어히알결광 스킨핏프렙 40 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251126/YE3oVrS9efGJcoOHvQP21073406_00_01YE3oVrS9efGJcoOHvQP2.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
45.0,-1,입큰,입큰 퍼스널 톤 코렉팅 블러 팩트 5.5 g(라벤더),3000,https://cdn.daisomall.co.kr/file/PD/20260116/6GlixjcD2c9eF8MVjjSA1061379_00_006GlixjcD2c9eF8MVjjSA.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
49.0,-2,VT,VT 리들샷 500 페이셜 부스팅 퍼스트 앰플 2ml*8개입,5000,https://cdn.daisomall.co.kr/file/PD/20251229/SpftDpHXKxW7Bat8r8Vp1057357_00_01SpftDpHXKxW7Bat8r8Vp.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
50.0,-2,바세린,바세린 마스크팩 영양보습,1000,https://cdn.daisomall.co.kr/file/PD/20251231/sp26bx6dLGtYmqXREEvb1027328_00_00sp26bx6dLGtYmqXREEvb.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
52.0,-2,본셉 스킨케어,본셉 레티놀 동결건조 더블샷 앰플 키트,5000,https://cdn.daisomall.co.kr/file/PD/20260123/7atGoOJ29MCKOvdnwiNQ1072417_00_017atGoOJ29MCKOvdnwiNQ.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
53.0,1,daiso,감자 캡슐팩,500,https://cdn.daisomall.co.kr/file/PD/20231130/NyZnpJ1W0yzZZxGyWT371034520_00_00NyZnpJ1W0yzZZxGyWT37.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
56.0,2,더랩 바이 블랑두,더랩바이블랑두 클리어히알결광 겔마스크 1매 25 g,1000,https://cdn.daisomall.co.kr/file/PD/20251126/VyaGMHD1aOBSOZzjPsKi1073409_00_01VyaGMHD1aOBSOZzjPsKi.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
57.0,-2,daiso,화산송이 캡슐팩,500,https://cdn.daisomall.co.kr/file/PD/20240108/mpgu7KC6sCnElihVDHEt1034515_00_00mpgu7KC6sCnElihVDHEt.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
59.0,-2,VT,VT PDRN 광채선에센스 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250929/wzKrzwRCrDqgHZDTtgId1067497_00_01wzKrzwRCrDqgHZDTtgId.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
65.0,2,셀더마 데일리,셀더마데일리 히알루 에센스겔 마스크 29 g,1000,https://cdn.daisomall.co.kr/file/PD/20240109/e7Zxh7l6BMIujeLOb29D1042615_00_00e7Zxh7l6BMIujeLOb29D.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
68.0,-1,메디필,메디필 멜라논엑스 기미크림 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251202/JnkokhJkl7RX7wd0O2DZ1068858_00_00JnkokhJkl7RX7wd0O2DZ.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
72.0,1,어퓨_더퓨어,어퓨 더퓨어 티트리 스팟 세럼 8ml,3000,https://cdn.daisomall.co.kr/file/PD/20251128/5GvWifCJVjILEHXyZKJ51044970_00_005GvWifCJVjILEHXyZKJ5.png/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
73.0,2,daiso,어성초 캡슐팩,500,https://cdn.daisomall.co.kr/file/PD/20231229/sap4Y5Kaa9sX1Pvq9Yrg1034516_00_00sap4Y5Kaa9sX1Pvq9Yrg.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
77.0,1,본셉 스킨케어,본셉 디판테놀 동결건조 더블샷 앰플 키트,5000,https://cdn.daisomall.co.kr/file/PD/20251223/rx7lRSpqPEm6Fk1oonVX1072416_00_00rx7lRSpqPEm6Fk1oonVX.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
79.0,1,메디필,메디필 물톡스 광채 보습 패드 2.0 50매입,5000,https://cdn.daisomall.co.kr/file/PD/20251202/rw0QUR8phiyBOWFfG4Mo1062241_00_00rw0QUR8phiyBOWFfG4Mo.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
81.0,0,클리덤,클리덤 저분자 콜라겐 탄력 마스크 1매입 (종근당건강),2000,https://cdn.daisomall.co.kr/file/PD/20251205/a9VHG6nPforaDnxPEzgo1060546_00_00a9VHG6nPforaDnxPEzgo.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
87.0,-2,daiso,식물원 알로에 프레시 수딩 마스크시트,500,https://cdn.daisomall.co.kr/file/PD/20231129/Mo8GADjp5NxbJMm7XQuA1038237_00_00Mo8GADjp5NxbJMm7XQuA.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
91.0,-2,VT,VT 슈퍼 히알론 슬리핑 마스크 4 ml 6개입,3000,https://cdn.daisomall.co.kr/file/PD/20250929/gblFwiiyQbV92ezzjLMk1049285_00_01gblFwiiyQbV92ezzjLMk.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
92.0,-1,바세린,바세린 탱탱 시트 마스크팩 23 ml 1매,1000,https://cdn.daisomall.co.kr/file/PD/20251231/tl4kQWDDlNl2Pn7maCxW1071234_00_00tl4kQWDDlNl2Pn7maCxW.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
98.0,2,본셉 스킨케어,본셉 비타씨 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251216/LlNJt6NzAf654AyvuGWm1061920_00_00LlNJt6NzAf654AyvuGWm.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
99.0,0,셀더마 데일리,셀더마데일리 트랜스포밍 퍼밍콜라겐 마스크 28g,2000,https://cdn.daisomall.co.kr/file/PD/20250429/dEtwcu53V3cOWvQ0SnSL1059834_00_01dEtwcu53V3cOWvQ0SnSL.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
100.0,0,미모 바이 마몽드,[화잘먹템] 미모 바이 마몽드 로지-히알론 리퀴드 마스크 2 ml 6개입 (아모레퍼시픽),3000,https://cdn.daisomall.co.kr/file/PD/20251210/bkkVb3Evu3SxRdMZctRc1059095_00_00bkkVb3Evu3SxRdMZctRc.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
107.0,2,마데카21,마데카21 테카 솔루션 수딩 스팟 젤 15 ml,3000,https://cdn.daisomall.co.kr/file/PD/20251212/xnakJWK4svllWL9u5QBx1044556_00_00xnakJWK4svllWL9u5QBx.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
109.0,-2,바세린,바세린 진정 시트 마스크팩 23 ml 1매,1000,https://cdn.daisomall.co.kr/file/PD/20251231/cgHURoklSsbo7KbWcxaC1071236_00_00cgHURoklSsbo7KbWcxaC.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
110.0,1,마미케어,마미케어 바다포도 모공세럼 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251215/LKHKkUiBLe3vgJEfmKJt1075033_00_01LKHKkUiBLe3vgJEfmKJt.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
113.0,1,줌 바이 정샘물,줌 바이 정샘물 프렙 스킨패드 3매_수분결부스팅,1000,https://cdn.daisomall.co.kr/file/PD/20260105/WdTvkpulYXNW4wspDg4Z1072850_00_00WdTvkpulYXNW4wspDg4Z.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
114.0,0,마미케어,마미케어 바다포도 젤리미스트 100 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251215/5fZCbheiY6nLaS9ZzLhH1075032_00_015fZCbheiY6nLaS9ZzLhH.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
119.0,2,마데카21,마데카21 테카 솔루션 수딩 캡슐 앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/s4XHWtj2Fdz5gHFmSBcY1044555_00_00s4XHWtj2Fdz5gHFmSBcY.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
122.0,0,김정문알로에,김정문알로에 라센스 로에 큐어 인텐시브 2X 크림 30 g,5000,https://cdn.daisomall.co.kr/file/PD/20251231/HvXyu7beCHLbzym0aN2g1061619_00_00HvXyu7beCHLbzym0aN2g.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
123.0,-1,daiso,라이스 필링 캡슐팩,500,https://cdn.daisomall.co.kr/file/PD/20240126/4hFwRCjOPOVhToFMbDTM1050068_00_004hFwRCjOPOVhToFMbDTM.jpg/dims/resize/1280/quality/90/format/avif/optimize,클렌징,다이소,3월 베스트 랭킹
127.0,0,셀더마 데일리,셀더마데일리 PDRN 광채 크림 랩핑 마스크 1매,2000,https://cdn.daisomall.co.kr/file/PD/20260205/Cg7pPAF0QMRSGGKdsWZw1075857_00_01Cg7pPAF0QMRSGGKdsWZw.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
132.0,-2,클리덤,클리덤 리포좀 비타민C 잡티광앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251205/mMEadJbvD4mNdT5U6aHp1068720_00_00mMEadJbvD4mNdT5U6aHp.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
134.0,2,VT,VT 시카 슬리핑 마스크 4 ml 6개입,3000,https://cdn.daisomall.co.kr/file/PD/20250929/ztmxGB1EIyVrayC69sxb1049277_00_01ztmxGB1EIyVrayC69sxb.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
136.0,-2,과일나라,과일나라 알로에베라 모이스처 아쿠아 수딩 젤 미스트 310 ml,3000,https://cdn.daisomall.co.kr/file/PD/20250430/vjO0dtqgKC9H1TkJIyyy1010710_00_01vjO0dtqgKC9H1TkJIyyy.png/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
