rank,rank_change,brand_name,goods_name,price,image_url,category,store,ranking_type
1,2,본셉 스킨케어,본셉 비타씨 동결 건조 더블샷 앰플 키트,5000,https://cdn.daisomall.co.kr/file/PD/20251216/lcOc1IVBETy66kefZV8g1061918_00_00lcOc1IVBETy66kefZV8g.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
2,1,마데카21,마데카21 테카 솔루션 수딩 미스트 토너 200 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251212/lVe1TsvXyVn9pzpTvOMD1044553_00_00lVe1TsvXyVn9pzpTvOMD.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
3,3,바이 리얼베리어,바이 리얼베리어 세라베이스 카밍 모이스처라이징 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/FxVMJqI3Yb0oYpaik6KC1061529_00_00FxVMJqI3Yb0oYpaik6KC.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
4,3,더랩 바이 블랑두,더랩 바이 블랑두 클리어 히알 물광 부스터 앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/wfPC4Z9JWor0Iq7HY3ZD1060644_00_00wfPC4Z9JWor0Iq7HY3ZD.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
5,0,본셉 스킨케어,본셉 레티놀 2500 IU 링클샷 퍼펙터 15 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251218/d8NqIeDpOKYbm6p44Fzf1055168_00_00d8NqIeDpOKYbm6p44Fzf.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
6,0,VT,VT PDRN 광채크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251226/wj1JQs4g8q0tBuz4c7jF1067498_00_01wj1JQs4g8q0tBuz4c7jF.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
7,-1,VT,VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2ml*6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/biuEYxzjCmX6JMJEi1e01049276_00_01biuEYxzjCmX6JMJEi1e0.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
8,1,더랩 바이 블랑두,더랩 바이 블랑두 클리어 히알 물광 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/aTi0jw3qlVzLpZ0I2EIX1060645_00_00aTi0jw3qlVzLpZ0I2EIX.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
9,1,VT,VT PDRN 광채시트마스크 1매 25 g,1000,https://cdn.daisomall.co.kr/file/PD/20250929/VaaKV3bgiDTNm72FbhfR1067499_00_01VaaKV3bgiDTNm72FbhfR.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
10,-1,VT,VT 리들샷 500 페이셜 부스팅 퍼스트 앰플 2ml*8개입,5000,https://cdn.daisomall.co.kr/file/PD/20251229/SpftDpHXKxW7Bat8r8Vp1057357_00_01SpftDpHXKxW7Bat8r8Vp.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
11,-2,본셉 스킨케어,본셉 레티놀 500 IU 세럼 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251216/0lOXklS1nx5HxNuMya731055167_00_000lOXklS1nx5HxNuMya73.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
12,1,VT,VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2ml*6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/0XsdymYj3PJyHpuxNOsm1049275_00_010XsdymYj3PJyHpuxNOsm.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
13,3,파티온,파티온 노스카나인 퍼스트스텝 흔적앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251202/EGzX930is0fvOMC37MbX1071642_00_00EGzX930is0fvOMC37MbX.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
14,0,셀더마 데일리,셀더마데일리 트랜스포밍 아줄렌카밍 마스크 28 g,2000,https://cdn.daisomall.co.kr/file/PD/20250429/tW0T7spnNIGwTYPuD2KH1059832_00_01tW0T7spnNIGwTYPuD2KH.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
15,-2,더랩 바이 블랑두,더랩바이블랑두 클리어히알결광 스킨핏프렙 40 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251126/YE3oVrS9efGJcoOHvQP21073406_00_01YE3oVrS9efGJcoOHvQP2.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
16,1,메디필,메디필 엑스트라 슈퍼 9 플러스 물광 리프팅 랩핑 마스크 4 ml 4개입,3000,https://cdn.daisomall.co.kr/file/PD/20251202/VO01g4Ibd3IeoCgcXDjf1053499_00_00VO01g4Ibd3IeoCgcXDjf.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
17,3,입큰,입큰 퍼스널 톤 코렉팅 블러 팩트 5.5 g(라벤더),3000,https://cdn.daisomall.co.kr/file/PD/20260116/6GlixjcD2c9eF8MVjjSA1061379_00_006GlixjcD2c9eF8MVjjSA.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
18,-2,클리덤,클리덤 리포좀 비타민C 잡티광앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251205/mMEadJbvD4mNdT5U6aHp1068720_00_00mMEadJbvD4mNdT5U6aHp.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
19,-1,더마블록,더마블록 데일리 선크림 35 ml (by 셀퓨전씨),5000,https://cdn.daisomall.co.kr/file/PD/20240510/gyD5sPof4Ys8oP1IDWHp1055362_00_00gyD5sPof4Ys8oP1IDWHp.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
20,3,바이 오디-티디,CNP bye od-td 스팟 카밍 젤 10 ml (LG생활건강),5000,https://cdn.daisomall.co.kr/file/PD/20251202/IIm9B5fLgC3mdhy1AOVE1058477_00_00IIm9B5fLgC3mdhy1AOVE.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
21,1,줌 바이 정샘물,줌 바이 정샘물 광프렙 부스터 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20260105/0TUD0gnc7SYmk0pgGn4C1072791_00_000TUD0gnc7SYmk0pgGn4C.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
22,-2,VT,VT PDRN 광채리프팅마스크 1매 27 g+광채에센스 1.5 ml,2000,https://cdn.daisomall.co.kr/file/PD/20251031/vqLOvtmpEIgiT5E4Vo0l1067500_00_01vqLOvtmpEIgiT5E4Vo0l.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
23,2,VT,VT PDRN 광채에센스 2 ml 6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/cceyzI3mcdWkrllblcO41067496_00_01cceyzI3mcdWkrllblcO4.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
24,1,마미케어,마미케어 바다포도 모공세럼 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251215/LKHKkUiBLe3vgJEfmKJt1075033_00_01LKHKkUiBLe3vgJEfmKJt.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
25,-2,VT,VT 시카 카밍 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250929/Hmj0AdKWK1xzJkD9sMB21049274_00_01Hmj0AdKWK1xzJkD9sMB2.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
26,3,마데카21,마데카21 테카 솔루션 수딩 캡슐 앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/s4XHWtj2Fdz5gHFmSBcY1044555_00_00s4XHWtj2Fdz5gHFmSBcY.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
27,3,클리덤,클리덤 리포좀 비타민C 캡슐잡티크림 55 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251205/6yxxYklOEqrkfhPkdQXB1068721_00_006yxxYklOEqrkfhPkdQXB.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
28,0,본셉 스킨케어,본셉 레티놀 동결건조 더블샷 앰플 키트,5000,https://cdn.daisomall.co.kr/file/PD/20260123/7atGoOJ29MCKOvdnwiNQ1072417_00_017atGoOJ29MCKOvdnwiNQ.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
29,2,VT,VT PDRN 광채선에센스 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250929/wzKrzwRCrDqgHZDTtgId1067497_00_01wzKrzwRCrDqgHZDTtgId.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
30,2,다이소,미모랑 마이크로 트러블 패치 소형 10매입,3000,https://cdn.daisomall.co.kr/file/PD/20251111/yqSUr6LvwMbErout4Tvv1052642_00_00yqSUr6LvwMbErout4Tvv.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
31,3,메디필,메디필 물톡스 광채 보습 패드 2.0 50매입,5000,https://cdn.daisomall.co.kr/file/PD/20251202/rw0QUR8phiyBOWFfG4Mo1062241_00_00rw0QUR8phiyBOWFfG4Mo.jpg/dims/resize/1280/quality/90/format/avif/optimize,Cleansing,다이소,실시간
32,3,애경 바세린,바세린 모이스처라이징 클렌징 밀크 140 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250311/QGjtoQh4Tv8bUcOEAchc1060211_00_01QGjtoQh4Tv8bUcOEAchc.jpg/dims/resize/1280/quality/90/format/avif/optimize,Cleansing,다이소,실시간
33,1,다이소,팩미인 하이드로겔 브이 마스크팩,1000,https://cdn.daisomall.co.kr/file/PD/20240228/5CbxiMTJlfo8lBTONcIF1018161_00_005CbxiMTJlfo8lBTONcIF.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
34,3,비알티씨,BRTC 스킨 랩 퓨리파잉 클렌징 오일 100 ml,5000,https://cdn.daisomall.co.kr/file/PD/20240226/1XsEg25kgvetjWRCChuz1051352_00_011XsEg25kgvetjWRCChuz.jpg/dims/resize/1280/quality/90/format/avif/optimize,Cleansing,다이소,실시간
35,-1,클라뷰,클라뷰 밸런싱 포어밤 프라이머 10 ml,3000,https://cdn.daisomall.co.kr/file/PD/20250423/5zm9TwYK1LI2sa9SyP5S1064166_00_015zm9TwYK1LI2sa9SyP5S.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
36,3,다이소,안개 분사 화장품 스프레이 80 ml,1000,https://cdn.daisomall.co.kr/file/PD/20251204/OuaXrKfCO58Suqp7aqCx1060602_00_00OuaXrKfCO58Suqp7aqCx.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
37,3,더마블록,더마블록 마일드 선스틱 16 g (by 셀퓨전씨),5000,https://cdn.daisomall.co.kr/file/PD/20240510/wTSEmHZQH0IdkA4Xfwv31055374_00_00wTSEmHZQH0IdkA4Xfwv3.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
38,2,꽁래쉬,[#5 슈가]꽁래쉬 노글루 속눈썹,3000,https://cdn.daisomall.co.kr/file/PD/20260210/R6ukUkWn9WB1PfZT6ClI1075937_00_01R6ukUkWn9WB1PfZT6ClI.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
39,-2,다이소,K일회용필터 화이트 마스크 대형 30 매입,3000,https://cdn.daisomall.co.kr/file/PD/20260224/LQhvkEIw7Tq5y6A5NYvU1031613_00_00LQhvkEIw7Tq5y6A5NYvU.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
40,-1,본셉 스킨케어,본셉 디판테놀 동결건조 더블샷 앰플 키트,5000,https://cdn.daisomall.co.kr/file/PD/20251223/rx7lRSpqPEm6Fk1oonVX1072416_00_00rx7lRSpqPEm6Fk1oonVX.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
41,3,본셉 스킨케어,본셉 레티놀 500 IU 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251216/q9d9nWMpZtMefnXCSLkm1055169_00_00q9d9nWMpZtMefnXCSLkm.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
42,-1,마미케어,마미케어 바다포도 젤리미스트 100 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251215/5fZCbheiY6nLaS9ZzLhH1075032_00_015fZCbheiY6nLaS9ZzLhH.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
43,3,미모 바이 마몽드,[화잘먹앰플] 미모 바이 마몽드 로지-히알론 수분 앰플 50 ml (아모레퍼시픽),5000,https://cdn.daisomall.co.kr/file/PD/20251210/idRDrpmUAUYGbIpiZAnV1059091_00_00idRDrpmUAUYGbIpiZAnV.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
44,-2,마데카21,마데카21 테카 솔루션 수딩 스팟 젤 15 ml,3000,https://cdn.daisomall.co.kr/file/PD/20251212/xnakJWK4svllWL9u5QBx1044556_00_00xnakJWK4svllWL9u5QBx.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
45,2,본셉 스킨케어,본셉 레티놀 더블 브이핏 겔마스크 1매 22 g,2000,https://cdn.daisomall.co.kr/file/PD/20251223/7vjXali5USMdt3tkeAsb1072418_00_007vjXali5USMdt3tkeAsb.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
46,3,클리덤,클리덤 리포좀 비타민C 톤미스트세럼 100 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251205/sRclKzcWUkMac1J4VpuZ1068719_00_00sRclKzcWUkMac1J4VpuZ.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
47,0,마데카21,마데카21 릴리프 스팟케어패치 68매,2000,https://cdn.daisomall.co.kr/file/PD/20240111/UblpkaSBNizNdCF3b4di1044558_00_00UblpkaSBNizNdCF3b4di.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
48,2,큐어레스트,큐어레스트 수분진정 버블에센스토너 95 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250923/Yja8v46yIT2qgX97PZVf1072455_00_01Yja8v46yIT2qgX97PZVf.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
49,2,다이소,랩팩토리 멀티밤 9g  주름 스틱,5000,https://cdn.daisomall.co.kr/file/PD/20231201/vy2DNaUVxBInHx3e0Aug1038896_00_00vy2DNaUVxBInHx3e0Aug.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
50,0,어퓨_더퓨어,어퓨 더퓨어 티트리 스팟 세럼 8ml,3000,https://cdn.daisomall.co.kr/file/PD/20251128/5GvWifCJVjILEHXyZKJ51044970_00_005GvWifCJVjILEHXyZKJ5.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
51,1,닥터오라클,닥터오라클 큐어소나 리커버링 릴렉싱 크림 60 ml,5000,https://cdn.daisomall.co.kr/file/PD/20260122/1R5inRSM7HQdYw0QGIIT1051751_00_001R5inRSM7HQdYw0QGIIT.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
52,1,더마블록,더마블록 톤업 선크림 35 ml (by 셀퓨전씨),5000,https://cdn.daisomall.co.kr/file/PD/20240510/8nj1aFNNe97DJ6mGJpSl1055364_00_008nj1aFNNe97DJ6mGJpSl.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
53,1,파티온,파티온 노스카나인 퍼스트스텝 흔적수분크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251202/Z4x0YVngpXzIHb3A6NwD1071644_00_00Z4x0YVngpXzIHb3A6NwD.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
54,1,김정문알로에,김정문알로에 큐어알파 알로에시카 수딩젤 150 ml,3000,https://cdn.daisomall.co.kr/file/PD/20250609/0Rfas0psXEcEl0QK7JxS1067515_00_010Rfas0psXEcEl0QK7JxS.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
55,1,과일나라,과일나라 알로에베라 모이스처 아쿠아 수딩 젤 미스트 310 ml,3000,https://cdn.daisomall.co.kr/file/PD/20250430/vjO0dtqgKC9H1TkJIyyy1010710_00_01vjO0dtqgKC9H1TkJIyyy.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
56,-2,도브,도브 센스티브바 90 g,1500,https://cdn.daisomall.co.kr/file/PD/20251121/InWc5sa3YRjQkMQfbKOE1063230_00_00InWc5sa3YRjQkMQfbKOE.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
57,2,클리덤,클리덤 저분자 콜라겐 탄력 마스크 1매입 (종근당건강),2000,https://cdn.daisomall.co.kr/file/PD/20251205/a9VHG6nPforaDnxPEzgo1060546_00_00a9VHG6nPforaDnxPEzgo.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
58,-1,본셉 스킨케어,본셉 레티놀 아이 크림 25 ml,3000,https://cdn.daisomall.co.kr/file/PD/20251216/WDWpO8PGIXVy4Iuc74nd1055165_00_00WDWpO8PGIXVy4Iuc74nd.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
59,0,바이 리얼베리어,바이 리얼베리어 세라베이스 모이스처라이징 카밍 선크림 40 ml,5000,https://cdn.daisomall.co.kr/file/PD/20260318/Fl4IZrI88btdJfeHkKX81075317_00_00Fl4IZrI88btdJfeHkKX8.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
60,3,바이 리얼베리어,바이 리얼베리어 세라베이스 모이스처라이징 크림토너 150 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/UAsPxZYm7XBa4EX7YOQz1061526_00_00UAsPxZYm7XBa4EX7YOQz.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
61,-1,메디필,메디필 엑스트라 슈퍼 9 플러스 아크네 클렌징 폼 100 ml,3000,https://cdn.daisomall.co.kr/file/PD/20251202/1mjpgiOTWenoGikEKnWR1053481_00_001mjpgiOTWenoGikEKnWR.jpg/dims/resize/1280/quality/90/format/avif/optimize,Cleansing,다이소,실시간
62,1,VT,VT 슈퍼 히알론 슬리핑 마스크 4 ml 6개입,3000,https://cdn.daisomall.co.kr/file/PD/20250929/gblFwiiyQbV92ezzjLMk1049285_00_01gblFwiiyQbV92ezzjLMk.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
63,0,리노이아,리노이아 노워시 크림팩 에센스 200 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250107/2G0hKx9imiioF5sUcLfU1061925_00_002G0hKx9imiioF5sUcLfU.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
64,-2,메디필,메디필 물톡스 광채 보습 패드 2.0 리필 (150ml/70매),5000,https://cdn.daisomall.co.kr/file/PD/20251215/heReYWpYLmnWLUbh8Ylx1075288_00_00heReYWpYLmnWLUbh8Ylx.jpg/dims/resize/1280/quality/90/format/avif/optimize,Cleansing,다이소,실시간
65,2,더마블록,더마블록 BB 선크림 35 ml (by 셀퓨전씨),5000,https://cdn.daisomall.co.kr/file/PD/20240510/dck0R0NoTTo9tqRSuBT21055371_00_00dck0R0NoTTo9tqRSuBT2.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
