순위,상품명,카테고리 이름,브랜드 이름,가격,할인 가격,image_url,oliveyoung_best_combined_0317 (1),oliveyoung_best_combined_0318,oliveyoung_best_combined_0321,oliveyoung_best_combined_0325,oliveyoung_best_combined_0328,goods_no,
1,[3월 올영픽/15년 연속 1위] 메디힐 에센셜 마스크팩 10+1/10매 기획 7종 골라담기,마스크팩,메디힐,20000.0,10000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A000000223414107ko.jpg?l=ko,1.0,1.0,1.0,2.0,1.0,A000000223414,
2,[3월 올영픽/1위패드] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,마스크팩,메디힐,39900.0,28100.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A000000171427216ko.png?l=ko,2.0,2.0,2.0,3.0,4.0,A000000171427,
3,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),스킨케어,라로슈포제,41000.0,36900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020690407ko.jpg?l=ko,3.0,2.0,2.0,4.0,5.0,A000000206904,
4,[여드름 기능성/피지케어] 블랑네이처 아크네 클렌징 폼 단품/기획,클렌징,블랑네이처,23800.0,19600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018640936ko.jpg?l=ko,3.0,7.0,2.0,8.0,2.0,A000000186409,
5,[망곰 콜라보] 비플레인 녹두 약산성 클렌징폼 160ml 더블 기획 (+동전지갑),클렌징,비플레인,26000.0,24900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024544613ko.jpg?l=ko,7.0,1.0,5.0,3.0,6.0,A000000245446,
6,[3월올영픽/5년연속1위] 마녀공장 퓨어 클렌징오일 200ml 2입 기획 (+25ml),클렌징,마녀공장,37000.0,25900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024791879ko.jpg?l=ko,5.0,3.0,6.0,1.0,3.0,A000000247918,
7,[3월 올영픽/대용량] 라로슈포제 시카밤 B5+ 200ml+시카PRO마스크 루틴 기획(+시카밤 3ml*2),스킨케어,라로슈포제,80000.0,52900.0,,2.0,1.0,11.0,3.0,3.0,A000000247689,
8,[박보영 버블팩]메노킨 30초 퀵 버블 마스크 95ml 6종 중 택1,마스크팩,메노킨,28500.0,24200.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023442231ko.jpg?l=ko,5.0,7.0,6.0,4.0,3.0,A000000234422,
9,바이오더마 센시비오 H2O 500ml 2입,더모 코스메틱,바이오더마,42000.0,31900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0001/A00000001319469ko.jpg?l=ko,4.0,5.0,6.0,5.0,7.0,A000000013194,
10,[15년연속 1위] 메디힐 에센셜 마스크팩 1매 고기능 7종 골라담기,마스크팩,메디힐,2000.0,1000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021762055ko.png?l=ko,6.0,6.0,4.0,8.0,7.0,A000000217620,
11,[3월 올영픽/품절대란템 NEW 컬러] 유리아쥬 스틱레브르 컬러드 5종,더모 코스메틱,유리아쥬,15000.0,9900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023548562ko.jpg?l=ko,5.0,5.0,3.0,10.0,8.0,A000000235485,
12,[대용량/트러블1등] 파티온 노스카나인 트러블 세럼 50ml 리필 기획(+리필40ml+크림10ml),스킨케어,파티온,54000.0,33900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021960906ko.png?l=ko,7.0,7.0,4.0,9.0,6.0,A000000219609,
13,[3월 올영픽/1+1] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획,스킨케어,메디힐,36900.0,22400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021111976ko.png?l=ko,17.0,8.0,2.0,3.0,10.0,A000000211119,
14,[800만개판매/1등피지클리너] 일소 슈퍼 멜팅 세범 소프트너 150ml 기획 (+착붙솜 40매+모공텐션마스크팩1매),클렌징,일소,26000.0,17960.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022573632ko.jpg?l=ko,8.0,9.0,10.0,10.0,9.0,A000000225736,
15,[앰플한병팩] 메디힐 하이퍼 콜라겐 겔 마스크 8+1매 한정 기획,마스크팩,메디힐,36000.0,24900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023910243ko.jpg?l=ko,3.0,8.0,11.0,15.0,10.0,A000000239102,
16,[망곰 콜라보/1+1] 스킨푸드 패드 더블기획 3종(+망곰 얼굴파우치) (당근/감자/복숭아),마스크팩,스킨푸드,42000.0,26200.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024809805ko.png?l=ko,9.0,9.0,8.0,12.0,9.0,A000000248098,
17,에스트라 아토베리어365 크림 80ml 어워즈 한정기획 (+30ml+앰플 3ml),스킨케어,에스트라,33000.0,33000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023863417ko.jpg?l=ko,10.0,4.0,21.0,6.0,4.0,A000000238634,
18,[3월 올영픽/1등미백앰플] 메디큐브 PDRN 핑크 앰플 30ml 기획 (본품+리필 50ML+겔패드 2매입*2개),스킨케어,메디큐브,46000.0,24600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022649844ko.jpg?l=ko,9.0,2.0,17.0,11.0,13.0,A000000226498,
19,[2025어워즈1위] 에스트라 아토베리어365 크림 80ml 기획 (+하이드로 에센스25ml+앰플7ml),스킨케어,에스트라,33000.0,33000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022283326ko.jpg?l=ko,1.0,31.0,1.0,8.0,11.0,A000000222833,
20,에스트라 아토베리어365 로션 150ml 기획 (하이드로에센스 25ml+세라-히알 앰플 7ml),스킨케어,에스트라,33000.0,33000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022283412ko.jpg?l=ko,13.0,9.0,8.0,11.0,10.0,A000000222834,
21,[온라인단독/대용량] 제로이드 인텐시브 크림 80ml 기획 (+50ml),스킨케어,제로이드,40000.0,40000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023159022ko.jpg?l=ko,6.0,10.0,5.0,18.0,9.0,A000000231590,
22,[75관왕 No.1] 메디힐 더마 패드 100매 7종 피부 고민별 골라담기,마스크팩,메디힐,26000.0,17900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A00000017142694ko.png?l=ko,8.0,10.0,16.0,7.0,13.0,A000000171426,
23,"[단독기획] 메디힐 콜라겐 캡슐 패치 60+60매 더블 기획 2종 (레티놀, 비타민C)",마스크팩,메디힐,45000.0,26400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023347012ko.png?l=ko,16.0,11.0,7.0,14.0,8.0,A000000233470,
24,[단독기획] 풀리 비건 팩클렌저 기획 3종 (그린토마토/레드토마토/쌀반죽),클렌징,풀리,24000.0,18400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021270337ko.jpg?l=ko,18.0,17.0,1.0,13.0,12.0,A000000212703,
25,[3월올영픽/1등모공세정] 아렌시아 떡솝 프레시 클렌저 120g 기획 3종 (그린/로즈힙/블루히솝),클렌징,아렌시아,23000.0,17700.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021490736ko.jpg?l=ko,16.0,14.0,14.0,11.0,10.0,A000000214907,
26,"[1번패드추가증정/대용량140매] 넘버즈인 토너패드 리필 기획 (1번, 4번, 5번)",마스크팩,넘버즈인,42000.0,26900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018263061ko.jpg?l=ko,11.0,15.0,12.0,9.0,19.0,A000000182630,
27,[더블기획/1+1] 토리든 다이브인 히알루론산 수딩 크림 더블기획 (100ml+100ml),스킨케어,토리든,42000.0,31500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016559833ko.jpg?l=ko,6.0,14.0,18.0,17.0,11.0,A000000165598,
28,[NO.1 미스트세럼] 달바 퍼스트 스프레이 세럼 100ml 2개 기획,스킨케어,달바,59800.0,32900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023272416ko.jpg?l=ko,15.0,25.0,9.0,5.0,12.0,A000000232724,
29,라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+멜라B3 세럼 3ml 증정),스킨케어,라로슈포제,52000.0,44200.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022429206ko.jpg?l=ko,18.0,20.0,9.0,5.0,12.0,A000000224292,
30,[1등마스크] 토리든 시트 마스크 10매 4종(수분/진정/브라이트닝/모공),마스크팩,토리든,30000.0,15000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015875277ko.jpg?l=ko,7.0,14.0,18.0,1.0,28.0,A000000158752,
31,[1등필링/화잘먹] 닥터지 브라이트닝 필링젤 기획 (120g+60g+히알시카세럼2ml/120g+120g+10g),클렌징,닥터지,21000.0,16820.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016227933ko.jpg?l=ko,13.0,19.0,15.0,12.0,14.0,A000000162279,
32,[3월올영픽/카니Pick] 메이크프렘 세이프 미 클렌징밀크 기획 (+리필 200ml+PDRN 클렌징밀크 21ml*2),클렌징,메이크프렘,34000.0,22600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024718209ko.jpg?l=ko,2.0,2.0,3.0,18.0,51.0,A000000247182,
33,[1+1/깐달걀피부결] 이니스프리 레티놀 시카 흔적 앰플 30ml 더블 기획,스킨케어,이니스프리,52000.0,28000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023020848ko.jpg?l=ko,10.0,9.0,16.0,22.0,18.0,A000000230208,
34,[3월단독/1등모공패드]메디큐브 제로 모공 패드 150매 한정기획 (패드 3종 택1),마스크팩,메디큐브,33000.0,28900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021435873ko.jpg?l=ko,13.0,12.0,26.0,10.0,15.0,A000000214358,
35,[수분진정 보습탄력/미니어처 증정] 메디힐 더마 크림 팩클렌저 120ml 단품/기획 2종 (+20ml 추가 증정),클렌징,메디힐,21000.0,15900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023739448ko.jpg?l=ko,17.0,4.0,11.0,20.0,28.0,A000000237394,
36,아비브 어성초 흔적 에센스 패드 클리어터치 70매 리필기획 (+70매 리필),마스크팩,아비브,40000.0,28000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021955554ko.png?l=ko,27.0,18.0,10.0,16.0,16.0,A000000219555,
37,바이오더마 하이드라비오 에센스로션 200ml 기획(+안개분사 미스트 증정),스킨케어,바이오더마,35000.0,35000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022608619ko.jpg?l=ko,9.0,13.0,25.0,13.0,26.0,A000000226086,
38,[3월올영픽/쫀쫀버블] 마녀공장 퓨어&딥 클렌징폼 160mlx2 더블기획,클렌징,마녀공장,17500.0,12600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020798244ko.jpg?l=ko,12.0,12.0,13.0,9.0,46.0,A000000207982,
39,[1매/5종] 아비브 껌딱지 시트 마스크 스티커 1매 (어성초/수분초/마데카소사이드/콜라겐밀크/비타),마스크팩,아비브,4000.0,2000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018801943ko.png?l=ko,14.0,22.0,15.0,21.0,21.0,A000000188019,
40,[115ml 대용량 기획/3월 올영픽] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 더블 기획(+신제품 TXA세럼),스킨케어,구달,46000.0,31500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024777410ko.jpg?l=ko,19.0,6.0,28.0,20.0,22.0,A000000247774,
41,에스트라 아토베리어365 하이드로 에센스 200ml 기획(+클렌징밀크 30ml),스킨케어,에스트라,32000.0,32000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024509502ko.jpg?l=ko,19.0,16.0,14.0,20.0,25.0,A000000245095,
42,바이오더마 시카비오 포마드 100ml 기획 (+거즈 시트 마스크 10매),스킨케어,바이오더마,38000.0,29900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024546302ko.jpg?l=ko,25.0,21.0,20.0,15.0,18.0,A000000245463,
43,[1+1/단독대용량] 듀이트리 하이 아미노 올 클렌징 밀크 200ml 기획 (+200ml 리필+20ml),클렌징,듀이트리,28500.0,18500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023117509ko.jpg?l=ko,21.0,18.0,31.0,16.0,17.0,A000000231175,
44,아누아 피디알엔 히알루론산 100 수분크림 60mL 2입 기획세트,스킨케어,아누아,64000.0,29500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023189226ko.png?l=ko,8.0,21.0,15.0,36.0,24.0,A000000231892,
45,[단독기획/대용량] 파티온 노스카나인 트러블 크림 75ml 기획(+5ml),스킨케어,파티온,45000.0,32000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023230404ko.jpg?l=ko,20.0,19.0,18.0,14.0,34.0,A000000232304,
46,[3월 올영픽] 이지듀 기미 앰플 쿠션 리필 기획 (퍼프 2매 증정),더모 코스메틱,이지듀,58900.0,51900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022806923ko.jpg?l=ko,22.0,6.0,17.0,26.0,32.0,A000000228069,
47,[화잘먹/브러쉬증정기획] 피캄 홀리바질 버블 딥 마스크 90g 기획 (+듀얼모공브러쉬),마스크팩,피캄,25500.0,20400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023819821ko.png?l=ko,24.0,19.0,17.0,24.0,27.0,A000000238198,
48,[화잘먹 마스크] 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 기획,마스크팩,마몽드,30000.0,21900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A000000200805118ko.jpg?l=ko,18.0,21.0,20.0,26.0,23.0,A000000200805,
49,[3월 올영픽/여배우광채크림]메디큐브 PDRN 핑크 콜라겐 캡슐크림 55g 기획 (+4.5g*2ea),스킨케어,메디큐브,33300.0,23800.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024882619ko.jpg?l=ko,20.0,12.0,25.0,32.0,19.0,A000000248826,
