순위,상품명,카테고리 이름,브랜드 이름,가격,할인 가격,image_url,oliveyoung_best_combined_0317 (1),oliveyoung_best_combined_0318,oliveyoung_best_combined_0321,oliveyoung_best_combined_0325,oliveyoung_best_combined_0328,goods_no,
50,[10매] 넘버즈인 1번~5번 마스크팩 10매 기획 5종 중 택 1,마스크팩,넘버즈인,40000.0,17900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020597931ko.jpg?l=ko,21.0,16.0,23.0,19.0,34.0,A000000205979,
51,(50%용량증정) 에스트라 더마UV365 장벽수분 무기자차 선크림 40ml+20ml 기획,더모 코스메틱,에스트라,31000.0,31000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020682619ko.jpg?l=ko,12.0,24.0,10.0,36.0,35.0,A000000206826,
52,[1+1] 토리든 다이브인 저분자 히알루론산 클렌징폼 더블기획 (150ml+150ml),클렌징,토리든,26000.0,17290.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018987527ko.jpg?l=ko,29.0,23.0,29.0,21.0,18.0,A000000189875,
53,[망곰 콜라보] 비플레인 녹두 클렌징오일 200ml 더블 기획 (+마우스 손목패드),클렌징,비플레인,29000.0,24900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024544708ko.jpg?l=ko,43.0,16.0,18.0,22.0,22.0,A000000245447,
54,[손목세안밴드 증정]  포들 2엑스 프레시밤 밤투폼 130ml 단품/기획,클렌징,포들,27000.0,24500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023042115ko.png?l=ko,39.0,10.0,20.0,45.0,13.0,A000000230421,
55,[미세먼지OUT/수분쫀쫀폼] 라곰 셀럽 마이크로 폼 클렌저 120ml x 2,클렌징,라곰,29000.0,24600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023082136ko.jpg?l=ko,9.0,6.0,7.0,2.0,101.0,A000000230821,
56,[블랙헤드/모공세정] 닥터지 그린딥 포어 클렌징밤 100ml 더블/단품,클렌징,닥터지,24000.0,14250.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020764028ko.jpg?l=ko,24.0,20.0,35.0,26.0,27.0,A000000207640,
57,아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml),스킨케어,아누아,39000.0,22500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023189417ko.png?l=ko,101.0,10.0,1.0,13.0,4.0,A000000231894,
58,[하늘PICK/트러블1등] 셀라딕스 트러블 세범 리밸런싱 RX 131 앰플 30ml,스킨케어,셀라딕스,28900.0,25400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022449411ko.jpg?l=ko,27.0,26.0,29.0,25.0,25.0,A000000224494,
59,[대용량] 아누아 어성초 포어 컨트롤 클렌징오일 350ml,클렌징,아누아,29900.0,19500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0019/A00000019148314ko.png?l=ko,15.0,22.0,34.0,50.0,15.0,A000000191483,
60,[화잘먹/수분아침세안]  라곰 셀럽 젤 투 워터 클렌저 170ml x 2,클렌징,라곰,29900.0,25400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023082225ko.jpg?l=ko,26.0,32.0,25.0,30.0,21.0,A000000230822,
61,[화잘먹/민감결케어] 한스킨 클렌징오일&블랙헤드 PHA 200ml 더블 기획 (+30ml),클렌징,한스킨,40000.0,23700.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022883604ko.jpg?l=ko,37.0,28.0,16.0,27.0,31.0,A000000228836,
62,[3월 올영픽] 라로슈포제 유비데아 안뗄리오스 톤업 로지 글로우 30ml 기획 (+3ml*3),더모 코스메틱,라로슈포제,38000.0,27000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024769202ko.jpg?l=ko,35.0,32.0,23.0,24.0,28.0,A000000247692,
63,[126매 대용량/올리브영 단독] 리쥬란 포어 타이트닝 토너 패드 60매 더블 한정 기획,더모 코스메틱,리쥬란,45000.0,28900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023676704ko.jpg?l=ko,12.0,13.0,12.0,37.0,65.0,A000000236767,
64,[올영단독] 아누아 데일리케어 마스크팩 5매 기획 8종(+1매 추가 증정),마스크팩,아누아,20000.0,9500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023183640ko.png?l=ko,15.0,45.0,25.0,23.0,36.0,A000000231836,
65,제로이드 포밍 클렌저 240ml,더모 코스메틱,제로이드,24000.0,24000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020991006ko.jpg?l=ko,27.0,25.0,22.0,40.0,38.0,A000000209910,
66,[3월 올영픽/미니언즈 콜라보] 마미케어 EMS 브이쎄라 4종 중 택 1 (기획/단품),스킨케어,마미케어,109000.0,91000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024879725ko.jpg?l=ko,31.0,46.0,31.0,27.0,14.0,A000000248797,
67,[3월올영픽] 메이크프렘 모이스처 클렌징폼 150ml 1+1 기획 (+PDRN 클렌징밀크 21ml),클렌징,메이크프렘,18000.0,15300.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023167541ko.jpg?l=ko,34.0,33.0,28.0,29.0,32.0,A000000231675,
68,바이오더마 센시비오 H2O 500ml,더모 코스메틱,바이오더마,27000.0,17960.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024721502ko.jpg?l=ko,31.0,31.0,36.0,22.0,37.0,A000000247215,
69,[1등 미스트] 아벤느 오 떼르말 미스트 300ml*2 + 50ml 기획,더모 코스메틱,아벤느,34000.0,25900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016643617ko.jpg?l=ko,24.0,22.0,38.0,12.0,61.0,A000000166436,
70,[180매] 코스알엑스 원스텝 패드 90매 더블기획 3종 중 택1,마스크팩,코스알엑스,32000.0,19800.0,,26.0,29.0,33.0,29.0,43.0,A000000167387,
71,[피지케어/코칫솔증정] 에이프릴스킨 당근클렌징밤 90ml 기획 (+코칫솔 증정),클렌징,에이프릴스킨,21000.0,19900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020247255ko.jpg?l=ko,28.0,29.0,41.0,37.0,24.0,A000000202472,
72,[3월 올영픽/올영단독선런칭]라로슈포제 안뗄리오스 선 플루이드 50ml 기획 (+15ml +멜라 B3 세럼 3ml),더모 코스메틱,라로슈포제,37000.0,26500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025006402ko.jpg?l=ko,26.0,42.0,50.0,30.0,13.0,A000000250064,
73,아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,클렌징,아누아,40000.0,24900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020555530ko.png?l=ko,1.0,47.0,23.0,32.0,61.0,A000000205555,
74,[1+1] 토리든 패드 다이브인/밸런스풀 리필기획 2종 택 1(수분/진정),마스크팩,토리든,38000.0,25270.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021281714ko.jpg?l=ko,25.0,25.0,40.0,41.0,40.0,A000000212817,
75,[단독기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블 기획,스킨케어,아누아,57500.0,29900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024777005ko.png?l=ko,7.0,4.0,8.0,55.0,94.0,A000000247770,
76,[모공/탄력/온열소금팩] 토르홉 사우난지앙 솔트 마스크 90g 기획 (+무민 스트레스볼 3종 중 랜덤 1종),마스크팩,토르홉,31500.0,25800.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024590119ko.png?l=ko,48.0,41.0,24.0,30.0,32.0,A000000245901,
77,[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,스킨케어,아누아,64000.0,27500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022620115ko.png?l=ko,21.0,20.0,101.0,31.0,2.0,A000000226201,
78,[2600만개 판매] 유세린 하이알루론 3X 나이트크림 50ml 기획 (+나이트크림7ml*2),스킨케어,유세린,68000.0,35900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024820003ko.jpg?l=ko,44.0,41.0,42.0,28.0,21.0,A000000248200,
79,에스트라 아토베리어365 세라-히알 속수분 앰플 30ml+30ml 리필 기획,더모 코스메틱,에스트라,47500.0,47500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024509112ko.jpg?l=ko,15.0,12.0,19.0,76.0,52.0,A000000245091,
80,바이오더마 아토덤 립스틱 4g 더블 기획,더모 코스메틱,바이오더마,20000.0,13600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024546702ko.jpg?l=ko,27.0,28.0,22.0,46.0,59.0,A000000245467,
81,[망곰 콜라보] 바닐라코 클린잇제로 포어클래리파잉 클렌징밤 100ml (+3ml*3ea+망곰 티코스터),클렌징,바닐라코,20000.0,15600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020267831ko.jpg?l=ko,65.0,49.0,17.0,25.0,23.0,A000000202678,
82,[리필기획] 메이크프렘 세이프 미 릴리프 모이스처 클렌징밀크 기획 (200ml+100ml 리필),클렌징,메이크프렘,28000.0,21000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015851329ko.jpg?l=ko,50.0,56.0,63.0,6.0,7.0,A000000158513,
83,[단독기획/1+1/쌀뜨물뽀용광] 에스네이처 아쿠아 라이스 약산성 클렌징폼 160ml 더블기획,클렌징,에스네이처,29000.0,24900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024810001ko.jpg?l=ko,40.0,43.0,24.0,35.0,38.0,A000000248100,
84,[3월올영픽/더블기획] 라운드랩 자작나무 수분 패드 더블 기획 (80매+80매),마스크팩,라운드랩,34000.0,27800.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016079639ko.jpg?l=ko,38.0,20.0,51.0,28.0,42.0,A000000160796,
85,[3월올영PICK|안경만두콜라보] 브링그린 징크테카 트러블 세럼 (콜라보/대용량기획),스킨케어,브링그린,56100.0,29800.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020064697ko.jpg?l=ko,18.0,24.0,30.0,29.0,81.0,A000000200646,
86,[3월 올영픽/대용량] 라운드랩 1025 독도 클렌저 250ml,클렌징,라운드랩,21000.0,15600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015464408ko.jpg?l=ko,49.0,30.0,45.0,28.0,33.0,A000000154644,
87,라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너 200ml,스킨케어,라로슈포제,37000.0,29600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015992114ko.jpg?l=ko,42.0,67.0,41.0,16.0,17.0,A000000159921,
88,[NEW/한정기획] 폰즈 립&아이리무버 300ml 기획 (+50ML 리무버 +15ML 팩클렌저 증정),클렌징,폰즈,24500.0,12200.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024833916ko.jpg?l=ko,23.0,36.0,43.0,44.0,42.0,A000000248339,
89,라로슈포제 시카플라스트 밤B5+ 40ml,더모 코스메틱,라로슈포제,27000.0,24300.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A00000017431608ko.jpg?l=ko,34.0,36.0,26.0,33.0,63.0,A000000174316,
90,제로이드 수딩 크림 80ml 기획 (+크림 10ml),스킨케어,제로이드,30000.0,27000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024499507ko.jpg?l=ko,38.0,51.0,62.0,25.0,15.0,A000000244995,
91,[1매] 넘버즈인 1번~5번 마스크팩 5종 중 택 1,마스크팩,넘버즈인,4000.0,2000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016090135ko.jpg?l=ko,20.0,34.0,22.0,42.0,76.0,A000000160901,
92,[독보적 보습 립밤] 유리아쥬 스틱레브르 오리지널 4g 2+1 한정기획,더모 코스메틱,유리아쥬,27000.0,20520.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020018410ko.png?l=ko,51.0,50.0,34.0,31.0,30.0,A000000200184,
93,[흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획,스킨케어,넘버즈인,46000.0,29900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018983723ko.jpg?l=ko,37.0,45.0,23.0,33.0,56.0,A000000189837,
94,바이오더마 하이드라비오 토너 500ml 기획 (+거품 용기),스킨케어,바이오더마,38000.0,38000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024545906ko.jpg?l=ko,17.0,101.0,29.0,34.0,16.0,A000000245459,
95,아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징,아누아,28000.0,23900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022279012ko.png?l=ko,4.0,50.0,78.0,42.0,25.0,A000000222790,
96,[수분진정] 넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml 리필기획 (50ml+50ml),스킨케어,넘버즈인,38000.0,24000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020722530ko.jpg?l=ko,51.0,41.0,34.0,37.0,37.0,A000000207225,
97,[수분크림] 에스트라 아토베리어365 하이드로 수딩크림 60ml,더모 코스메틱,에스트라,33000.0,26400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015089008ko.jpg?l=ko,28.0,17.0,13.0,41.0,101.0,A000000150890,
98,[3월 한정특가/1등 진정세럼] 파넬 시카마누 92세럼 30ml 리필기획(+30ml 리필+15ml),스킨케어,파넬,42000.0,23900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023772817ko.jpg?l=ko,52.0,23.0,51.0,48.0,31.0,A000000237728,
99,피지오겔 DMT 페이셜 보습장벽 크림 150ml,스킨케어,피지오겔,47500.0,23900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023218515ko.jpg?l=ko,101.0,18.0,46.0,17.0,22.0,A000000232185,
100,[10년연속1위] 유세린 하이알루론 3X 아이크림 15ml 기획(+나이트크림 7ml 2개 증정),스킨케어,유세린,53000.0,35900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020045415ko.jpg?l=ko,39.0,37.0,49.0,50.0,29.0,A000000200454,