category_name,brand_name,goods_name,score,rank,sale_price,final_rank
스킨케어,메디힐,[3월 올영픽/1+1] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획,465,8.0,22000.0,1
스킨케어,메디큐브,[3월 올영픽/1등미백앰플] 메디큐브 PDRN 핑크 앰플 30ml 기획 (본품+리필 50ML+겔패드 2매입*2개),453,10.4,24480.0,2
스킨케어,달바,[NO.1 미스트세럼] 달바 퍼스트 스프레이 세럼 100ml 2개 기획,439,13.2,32900.0,3
스킨케어,토리든,[더블기획/1+1] 토리든 다이브인 히알루론산 수딩 크림 더블기획 (100ml+100ml),439,13.2,30900.0,4
스킨케어,이니스프리,[1+1/깐달걀피부결] 이니스프리 레티놀 시카 흔적 앰플 30ml 더블 기획,430,15.0,28000.0,5
스킨케어,구달,[115ml 대용량 기획/3월 올영픽] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 더블 기획(+신제품 TXA세럼),410,19.0,31220.0,6
스킨케어,아누아,아누아 피디알엔 히알루론산 100 수분크림 60mL 2입 기획세트,401,20.8,29500.0,7
스킨케어,메디큐브,[3월 올영픽/여배우광채크림]메디큐브 PDRN 핑크 콜라겐 캡슐크림 55g 기획 (+4.5g*2ea),397,21.6,23086.0,8
스킨케어,아누아,아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml),376,7.0,22500.0,9
스킨케어,셀라딕스,[하늘PICK/트러블1등] 셀라딕스 트러블 세범 리밸런싱 RX 131 앰플 30ml,373,26.4,25400.0,10
더모 코스메틱,라로슈포제,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),489,3.2,36900.0,1
더모 코스메틱,유리아쥬,[3월 올영픽/품절대란템 NEW 컬러] 유리아쥬 스틱레브르 컬러드 5종,474,6.2,10260.0,2
더모 코스메틱,바이오더마,바이오더마 센시비오 H2O 500ml 2입,473,6.4,31900.0,3
더모 코스메틱,파티온,[대용량/트러블1등] 파티온 노스카나인 트러블 세럼 50ml 리필 기획(+리필40ml+크림10ml),472,6.6,33900.0,4
더모 코스메틱,에스트라,에스트라 아토베리어365 크림 80ml 어워즈 한정기획 (+30ml+앰플 3ml),460,9.0,33000.0,5
더모 코스메틱,제로이드,[온라인단독/대용량] 제로이드 인텐시브 크림 80ml 기획 (+50ml),457,9.6,37120.0,6
더모 코스메틱,에스트라,에스트라 아토베리어365 로션 150ml 기획 (하이드로에센스 25ml+세라-히알 앰플 7ml),454,10.2,28320.0,7
더모 코스메틱,에스트라,[2025어워즈1위] 에스트라 아토베리어365 크림 80ml 기획 (+하이드로 에센스25ml+앰플7ml),453,10.4,28380.0,8
더모 코스메틱,라로슈포제,라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+멜라B3 세럼 3ml 증정),441,12.8,48880.0,9
더모 코스메틱,바이오더마,바이오더마 하이드라비오 에센스로션 200ml 기획(+안개분사 미스트 증정),419,17.2,31360.0,10
마스크팩,메디힐,[3월 올영픽/1위패드] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,492,2.6,28420.0,1
마스크팩,메노킨,[박보영 버블팩]메노킨 30초 퀵 버블 마스크 95ml 6종 중 택1,480,5.0,24200.0,2
마스크팩,메디힐,[15년연속 1위] 메디힐 에센셜 마스크팩 1매 고기능 7종 골라담기,474,6.2,1000.0,3
마스크팩,메디힐,[앰플한병팩] 메디힐 하이퍼 콜라겐 겔 마스크 8+1매 한정 기획,458,9.4,24820.0,4
마스크팩,스킨푸드,[망곰 콜라보/1+1] 스킨푸드 패드 더블기획 3종(+망곰 얼굴파우치) (당근/감자/복숭아),458,9.4,26200.0,5
마스크팩,메디힐,[75관왕 No.1] 메디힐 더마 패드 100매 7종 피부 고민별 골라담기,451,10.8,17900.0,6
마스크팩,메디힐,"[단독기획] 메디힐 콜라겐 캡슐 패치 60+60매 더블 기획 2종 (레티놀, 비타민C)",449,11.2,26280.0,7
마스크팩,넘버즈인,"[1번패드추가증정/대용량140매] 넘버즈인 토너패드 리필 기획 (1번, 4번, 5번)",439,13.2,26900.0,8
마스크팩,토리든,[1등마스크] 토리든 시트 마스크 10매 4종(수분/진정/브라이트닝/모공),437,13.6,14760.0,9
마스크팩,메디큐브,[3월단독/1등모공패드]메디큐브 제로 모공 패드 150매 한정기획 (패드 3종 택1),429,15.2,28700.0,10
클렌징,마녀공장,[3월올영픽/5년연속1위] 마녀공장 퓨어 클렌징오일 200ml 2입 기획 (+25ml),487,3.6,25300.0,1
클렌징,블랑네이처,[여드름 기능성/피지케어] 블랑네이처 아크네 클렌징 폼 단품/기획,483,4.4,19460.0,2
클렌징,비플레인,[망곰 콜라보] 비플레인 녹두 약산성 클렌징폼 160ml 더블 기획 (+동전지갑),483,4.4,24900.0,3
클렌징,바이오더마,바이오더마 센시비오 H2O 500ml 2입,473,6.4,31900.0,4
클렌징,일소,[800만개판매/1등피지클리너] 일소 슈퍼 멜팅 세범 소프트너 150ml 기획 (+착붙솜 40매+모공텐션마스크팩1매),459,9.2,18524.0,5
클렌징,풀리,[단독기획] 풀리 비건 팩클렌저 기획 3종 (그린토마토/레드토마토/쌀반죽),444,12.2,18100.0,6
클렌징,아렌시아,[3월올영픽/1등모공세정] 아렌시아 떡솝 프레시 클렌저 120g 기획 3종 (그린/로즈힙/블루히솝),440,13.0,17060.0,7
클렌징,닥터지,[1등필링/화잘먹] 닥터지 브라이트닝 필링젤 기획 (120g+60g+히알시카세럼2ml/120g+120g+10g),432,14.6,16820.0,8
클렌징,메이크프렘,[3월올영픽/카니Pick] 메이크프렘 세이프 미 클렌징밀크 기획 (+리필 200ml+PDRN 클렌징밀크 21ml*2),429,15.2,22520.0,9
클렌징,메디힐,[수분진정 보습탄력/미니어처 증정] 메디힐 더마 크림 팩클렌저 120ml 단품/기획 2종 (+20ml 추가 증정),425,16.0,15700.0,10
